#;Date;Heure;Durée de trade ;Bot;Score;Symbol;Direction;Entry_Prix;Exit_Prix;PnL_Net;Exit_Raison;Notes;Notes 2;Total PnL;PNL Long;PNL Short;Total Long;Total Short;;;
52;02/01/2026;20:47;4m;TOP 30;100;PEPEUSDT;SHORT;0,0000056234;0,0000057385;-0,7915;SL;;;;;;;;;;
53;02/01/2026;20:50;5h;DEGEN;88;USELESSUSDT;LONG;0,0765;0,07914;0,9977;TP;TP1 & TP2 Touchés;;;;;;;;;
54;02/01/2026;21:45;5h;DISCOVERY;80;LITUSDT;SHORT;2,735;2,86;-0,8976;SL;;;;;;;;;;
55;02/01/2026;22:12;8h;DEGEN;80;AVAXUSDT;SHORT;13,631;13,378;0,5115;TP;TP1 Touché;;;;;;;;;
56;02/01/2026;22:21;1h 30m;DEGEN;80;PUMPUSDT;LONG;0,00219;0,00216;-0,4411;SL;;;;;;;;;;
57;02/01/2026;22:32;2h;DEGEN;88;MONUSDT;LONG;0,02628;0,02627;-0,0512;BE;Mis a BE après dépassement de la durée limite;;;;;;;;;
58;02/01/2026;22:38;5h;TOP 30;97;DOGEUSDT;SHORT;0,13284;0,13254;0,0425;BE;??;;;;;;;;;
59;03/01/2026;00:33;2h;TOP 30;99,4;DOGEUSDT;SHORT;0,13301;0,13791;-1,499;SL;;;;;;;;;;
60;03/01/2026;00:34;1h;TOP 30;82,8;WIFUSDT;SHORT;0,3083;0,3202;-0,786;SL;;;;;;;;;;
61;03/01/2026;00:57;30m;TOP 30;92,5;TONUSDT;SHORT;1,782;1,8202;-0,892;SL;;;;;;;;;;
62;03/01/2026;01:20;4h 30m;DISCOVERY;80;PENGUUSDT;LONG;0,010231;0,010742;0,9703;TP;TP1 & TP2 Touchés;;;;;;;;;
63;03/01/2026;02:10;1h;DEGEN;80;LIGHTUSDT;LONG;0,7105;0,7459;0,9493;TP;TP1 & TP2 Touchés;;;;;;;;;
64;03/01/2026;02:23;2d 15h;DISCOVERY;80;ANIMEUSDT;SHORT;0,07411;0,007372;0,0221;BE;Mis a BE après dépassement de la durée limite;;;;;;;;;
65;03/01/2026;05:49;1d 8h;SWING;64;SEIUSDT;LONG;0,11317;0,11919;1,5255;TP;TP Unique touché;;;;;;;;;
66;03/01/2026;05:52;5h;SWING;64;UNIUSDT;LONG;5,735;6,063;1,5958;TP;TP Unique touché;;;;;;;;;
67;03/01/2026;06:07;7h;DISCOVERY;80;SQDUSDT;SHORT;0,091;0,08519;1,2372;TP;TP1 & TP2 Touchés;;;;;;;;;
68;03/01/2026;09:45;10h;TOP 30;92,8;ADAUSDT;SHORT;0,3737;0,394;-1,076;SL;;;;;;;;;;
69;03/01/2026;11:54;1h;DEGEN;80;TAOUSDT;LONG;252;256,75;0,5204;TP;;;;;;;;;;
70;03/01/2026;12:23;16h;DISCOVERY;80;ZECUSDT;SHORT;502,34;494,52;0,4297;TP;TP1 Touché;;;;;;;;;
71;03/01/2026;12:33;14h;DISCOVERY;80;WLFIUSDT;LONG;0,1519;0,1569;0,6284;TP;TP1 Touché;;;;;;;;;
72;03/01/2026;12:47;12h;DISCOVERY;80;WLDUSDT;LONG;0,5402;0,5633;1,2241;TP;TP1 & TP2 Touchés;;;;;;;;;
73;03/01/2026;14:32;1h;DISCOVERY;80;SAPIENUSDT;LONG;0,16011;0,17027;1,2254;TP;TP1 & TP2 Touchés;;;;;;;;;
74;03/01/2026;14:49;3h;DISCOVERY;80;LITUSDT;LONG;2,754;2,666;-0,9016;SL;;;;;;;;;;
75;03/01/2026;14:52;3h;DISCOVERY;80;AERGOUSDT;LONG;0,6559;0,6337;-0,5732;SL;;;;;;;;;;
76;03/01/2026;15:16;16h;DISCOVERY;80;RENDERUSDT;LONG;1,505;1,513;0,0838;BE;Mis a BE après dépassement de la durée limite;;;;;;;;;
77;03/01/2026;18:24;9h;DISCOVERY;80;CHZUSDT;LONG;0,04416;0,04434;0,1172;BE;Mis a BE après dépassement de la durée limite;;;;;;;;;
78;03/01/2026;20:23;9h;TOP 30;80,5;ATOMUSDT;SHORT;2,219;2,2133;0,0482;BE;Mis a BE après dépassement de la durée limite;;;;;;;;;
79;03/01/2026;21:13;5h;DISCOVERY;80;LITUSDT;SHORT;2,615;2,725;-0,7813;SL;;;;;;;;;;
80;03/01/2026;22:27;12h;TOP 30;80,6;SUIUSDT;SHORT;1,6701;1,6651;0,0729;BE;Mis a BE après dépassement de la durée limite;;;;;;;;;
81;04/01/2026;00:27;7h;DEGEN;88;PENGUUSDT;LONG;0,01073;0,010965;0,6234;TP;TP1 Touché;;;;;;;;;
82;04/01/2026;00:37;1d 4h;TOP 30;88;OPUSDT;SHORT;0,3005;0,3096;-0,9307;SL;;;;;;;;;;
83;04/01/2026;01:55;1h;TOP 30;82,5;WIFUSDT;SHORT;0,335;0,3429;-0,4901;SL;;;;;;;;;;
84;04/01/2026;06:17;9h;DISCOVERY;80;HYPEUSDT;LONG;24,616;25,406;0,9208;TP;;;;;;;;;;
85;04/01/2026;06:36;4h 30m;TOP 30;100;WIFUSDT;SHORT;0,3419;0,3369;0,5295;TP;TP1 Touché;;;;;;;;;
86;04/01/2026;06:56;13h;DISCOVERY;90;PUMPUSDT;LONG;0,002219;0,002343;1,6212;TP;TP1 & TP2 Touchés;;;;;;;;;
87;04/01/2026;10:16;8h;DISCOVERY;80;AEROUSDT;LONG;0,5475;0,5914;1,5647;TP;TP1 & TP2 Touchés;;;;;;;;;
88;04/01/2026;11:12;4m;TOP 30;81,7;PEPEUSDT;SHORT;0,0000065099;0,0000065099;-0,9033;SL;;;;;;;;;;
89;04/01/2026;11:45;30m;TOP 30;86,1;WIFUSDT;SHORT;0,3515;0,3636;-1,4071;SL;;;;;;;;;;
90;04/01/2026;15:15;30m;DISCOVERY;80;PIEVERSEUSDT;SHORT;0,7248;0,7686;-1,199;SL;;;;;;;;;;
91;04/01/2026;15:22;2h;TOP 30;100;TIAUSDT;SHORT;0,5439;0,542;0,0679;BE;Mis a BE après 1R;;;;;;;;;
92;04/01/2026;17:02;14h;DISCOVERY;80;IPUSDT;LONG;2,1009;2,1079;0,0959;BE;Mis a BE après dépassement de la durée limite;;;;;;;;;
93;04/01/2026;18:07;3h;DEGEN;80;PUMPUSDT;SHORT;0,00228;0,00232;-0,5428;SL;;;;;;;;;;
94;04/01/2026;18:34;1h;DEGEN;80;PIEVERSEUSDT;LONG;0,76246;0,78264;0,7317;TP;TP1 & TP2 Touchés;;;;;;;;;
95;04/01/2026;19:43;8h;DISCOVERY;80;FLOKIUSDT;LONG;0,00005344;0,00005689;1,2595;TP;TP1 & TP2 Touchés;;;;;;;;;
96;04/01/2026;20:26;20h;DEGEN;80;AVAXUSDT;SHORT;13,934;14,145;-0,4593;SL;;;;;;;;;;
97;04/01/2026;21:18;30m;DEGEN;88;VIRTUALUSDT;LONG;0,8797;0,8666;-0,4553;SL;;;;;;;;;;
98;04/01/2026;21:36;3h;DEGEN;80;XPLUSDT;LONG;0,1888;0,1923;0,54;TP;TP1 & TP2 Touchés;;;;;;;;;
99;04/01/2026;21:56;4h;TOP 30;100;WIFUSDT;SHORT;0,3645;0,3857;-2,3449;SL;;;;;;;;;;
100;04/01/2026;22:30;3h;DEGEN;80;PIEVERSEUSDT;SHORT;0,77010;0,74476;0,93;TP;;;;;;;;;;
101;04/01/2026;22:55;5h;DISCOVERY;90;BEATUSDT;SHORT;0,79394;0,77313;0,5026;TP;TP1 Touché;;;;;;;;;
102;04/01/2026;23:01;1h;TOP 30;100;WIFUSDT;SHORT;0,3868;0,4067;-2,0804;SL;;;;;;;;;;
103;04/01/2026;23:07;30m;DEGEN;80;PIEVERSEUSDT;SHORT;0,7475;0,74319;0,1448;BE;Mis a BE après 1R;;;;;;;;;
104;04/01/2026;23:17;7h 30m;DISCOVERY;80;PNUTUSDT;LONG;0,08774;0,09261;2,1446;TP;TP1 & TP2 Touchés;;;;;;;;;
105;04/01/2026;23:25;30m;TOP 30;89,4;WIFUSDT;SHORT;0,4051;0,427;-2,1885;SL;;;;;;;;;;
106;05/01/2026;00:05;1h;DISCOVERY;80;PIEVERSEUSDT;LONG;0,74319;0,71144;-1,2737;SL;;;;;;;;;;
107;05/01/2026;02:16;14h;DISCOVERY;80;HUSDT;LONG;0,16987;0,17317;0,5463;TP;TP1 Touché;;;;;;;;;
108;05/01/2026;03:04;3h 30m;DEGEN;88;ENAUSDT;LONG;0,25;0,2463;-0,472;SL;;;;;;;;;;
109;05/01/2026;10:24;1h;DEGEN;88;TAOUSDT;LONG;270,16;266,06;-0,4702;SL;;;;;;;;;;
110;05/01/2026;14:10;3h;DISCOVERY;80;PIEVERSEUSDT;LONG;0,75466;0,809;3,4158;TP;TP1 & TP2 Touchés;;;;;;;;;
111;05/01/2026;15:46;3h;DISCOVERY;80;RAVEUSDT;SHORT;0,3975;0,3652;1,568;TP;TP1 & TP2 Touchés;;;;;;;;;
112;05/01/2026;17:03;4h;TOP 30;96,4;PEPEUSDT;SHORT;0,0000070822;0,000006797;1,5467;TP;TP1 & TP2 Touchés;;;;;;;;;
113;05/01/2026;18:07;2d 6h;DISCOVERY;80;BCHUSDT;LONG;630,15;663,49;1,3099;TP;TP1 & TP2 Touchés;;;;;;;;;
114;05/01/2026;22:04;9h;DISCOVERY;80;PUMPUSDT;SHORT;0,002219;0,002307;-1,2011;SL;;CHANGEMENT TOP 30 ;;;;;;;;
115;05/01/2026;22:38;12h;TOP 30;92,4;WIFUSDT;SHORT;0,3958;0,395;0,0775;BE;Mis a BE après dépassement de la durée limite;;;;;;;;;
116;05/01/2026;23:44;1h;TOP 30;83,7;ADAUSDT;SHORT;0,4042;0,4112;-0,7265;SL;CHANGEMENT TOP 30 ;;;;;;;;;
117;06/01/2026;00:22;8h;DISCOVERY;90;FLOKIUSDT;LONG;0,00005619;0,000005851;0,8038;TP;TP1 & TP2 Touchés;;;;;;;;;
118;06/01/2026;00:42;6h;DEGEN;92;PEPEUSDT;LONG;0,0000068051;0,0000068239;0,0433;BE;Mis a BE après dépassement de la durée limite;;;;;;;;;
119;06/01/2026;01:19;15h;SWING;64;UNIUSDT;LONG;5,966;5,780;-0,7759;SL;;;;;;;;;;
120;06/01/2026;01:26;2h;DEGEN;98;PNUTUSDT;LONG;0,09189;0,09385;0,6057;TP;TP1 Touché;;;;;;;;;
121;06/01/2026;01:57;7h;DISCOVERY;90;ENAUSDT;LONG;0,2432;0,2513;0,206;TP;TP1 Touché;;;;;;;;;
122;06/01/2026;01:58;2h;TOP 30;83,7;TIAUSDT;SHORT;0,5832;0,5781;0,29992;TP;TP1 Touché;;;;;;;;;
123;06/01/2026;02:21;2h;DEGEN;88;BUSDT;LONG;0,2124;0,2128;0,0059;BE;Mis a BE après dépassement de la durée limite;;;;;;;;;
124;06/01/2026;02:54;14h;DISCOVERY;80;FARTCOINUSDT;SHORT;0,3832;0,4027;-1,0244;SL;;;;;;;;;;
125;06/01/2026;02:59;4h;DEGEN;70;ASTERUSDT;SHORT;0,7683;0,7801;-0,4721;SL;;;;;;;;;;
126;06/01/2026;03:10;4h;DISCOVERY;80;WLDUSDT;LONG;0,5959;0,636;1,9379;TP;TP1 & TP2 Touchés;;;;;;;;;
127;06/01/2026;04:28;3h;TOP 30;86,5;AVAXUSDT;LONG;13,937;14,334;1,0666;TP;TP1 & TP2 Touchés;;;;;;;;;
128;06/01/2026;06:40;19h;TOP 30;93,5;NEARUSDT;SHORT;1,7971;1,7763;0,3946;TP;TP1 Touché;;;;;;;;;
129;06/01/2026;08:36;12h;DISCOVERY;85;VIRTUALUSDT;LONG;1,0683;1,0915;0,407;TP;TP1 Touché;;;;;;;;;
130;06/01/2026;11:32;10h;TOP 30;100;WIFUSDT;SHORT;0,4095;0,4225;-1,3;SL;;;;;;;;;;
131;06/01/2026;11:38;12h;DISCOVERY;80;RAVEUSDT;LONG;0,389;0,3904;0,2497;TP;TP1 Touché;;;;;;;;;
132;06/01/2026;12:42;18h;DISCOVERY;90;ZENUSDT;LONG;9,009;9,377;1,1656;TP;TP1 & TP2 Touchés;;;;;;;;;
133;06/01/2026;13:59;1h;DEGEN;70;PENGUUSDT;SHORT;0,01349;0,0132;0,6117;TP;TP1 & TP2 Touchés;;;;;;;;;
134;06/01/2026;14:40;6h;DEGEN;70;UNIUSDT;SHORT;6,165;6,262;-0,408;SL;;;;;;;;;;
