#;Date E;Heure E;Date S;Heure S;Durée de trade ;Bot;Score;Symbol;Direction;Entry_Prix;Exit_Prix;PnL_Net;Exit_Raison;Notes;Notes 2;Total PnL;PNL Long;PNL Short;Total Long;Total Short;PnL TPDe;PnL SLDe;PnL BE
100;20/01/2026;17:16;20/01/2026;20:07;2h 51m;DISCOVERY;83,2;XVGUSDT;SHORT;;;-1,0166;SL;;;;;;;;;;
101;20/01/2026;11:38;20/01/2026;21:05;9h 27m;DISCOVERY;92,7;XPLUSDT;SHORT;;;1,2232;TP;TP1 & TP2 Touchés;;;;;;;;;
102;20/01/2026;17:55;20/01/2026;21:06;3h 11m;DISCOVERY;80;SCRTUSDT;LONG;;;0,0295;BE;;;;;;;;;;
104;20/01/2026;15:20;20/01/2026;21:10;5h 50m;DISCOVERY;90;PUMPUSDT;LONG;;;-1,1;SL;;;;;;;;;;
105;20/01/2026;20:49;20/01/2026;22:08;1h 19m;DISCOVERY;91,8;HYPEUSDT;SHORT;;;1,0849;TP;TP1 & TP2 Touchés;;;;;;;;;
106;20/01/2026;17:28;20/01/2026;22:35;5h 7m;DISCOVERY;93,8;LITUSDT;SHORT;;;0,3958;TP;TP1 Touché;;;;;;;;;
107;20/01/2026;13:05;20/01/2026;22:35;9h 30m;DISCOVERY;84,1;WLFIUSDT;SHORT;;;0,3003;TP;TP1 Touché;;;;;;;;;
113;20/01/2026;21:40;21/01/2026;00:47;3h 7m;DISCOVERY;87,7;XPLUSDT;SHORT;;;0,3588;TP;TP1 Touché;;;;;;;;;
114;20/01/2026;20:12;21/01/2026;07:07;10h 55m;DISCOVERY;80,7;ROSEUSDT;SHORT;;;0,481;TP;TP1 Touché;;;;;;;;;
115;21/01/2026;08:01;21/01/2026;08:29;0h 28m;DISCOVERY;91,1;BERAUSDT;SHORT;;;-0,8598;SL;;;;;;;;;;
119;21/01/2026;15:03;21/01/2026;18:03;3h 0m;DISCOVERY;83,2;SANDUSDT;SHORT;;;-1,133;SL;;;;;;;;;;
122;21/01/2026;11:23;21/01/2026;20:03;8h 40m;DISCOVERY;80;BCHUSDT;LONG;;;0,2354;TPDe;Dépassement de durée limite;;;;;;;;;
127;21/01/2026;18:03;21/01/2026;20:22;2h 19m;DISCOVERY;80,1;ONDOUSDT;SHORT;;;0,7549;TP;TP1 & TP2 Touchés;;;;;;;;;
131;21/01/2026;19:12;21/01/2026;22:05;2h 53m;DISCOVERY;80,3;PENGUUSDT;SHORT;;;0,4394;TP;TP1 Touché;;;;;;;;;
133;21/01/2026;17:37;21/01/2026;22:13;4h 36m;DISCOVERY;80,1;TAOUSDT;SHORT;;;0,3196;TP;TP1 Touché;;;;;;;;;
23;16/01/2026;16:09;16/01/2026;23:29;7h 20m;SWING;70;NEARUSDT;LONG;;;-0,8427;SL;;;;;;;;;;
24;16/01/2026;17:18;16/01/2026;23:33;6h 15m;SWING;65;SEIUSDT;LONG;;;-0,8524;SL;;;;;;;;;;
41;16/01/2026;16:39;18/01/2026;04:15;35h 36m;SWING;65;TRXUSDT;SHORT;;;-0,9606;SL;;;;;;;;;;
44;17/01/2026;09:34;18/01/2026;09:12;23h 38m;SWING;70;BTCUSDT;LONG;;;-0,1922;SLDe;Dépassement de durée limite;;;;;;;;;
47;17/01/2026;07:44;18/01/2026;12:18;28h 34m;SWING;70;OPUSDT;LONG;;;0,1246;BE;Dépassement de durée limite;;;;;;;;;
61;17/01/2026;12:51;19/01/2026;07:40;42h 49m;SWING;70;UNIUSDT;LONG;;;-0,5329;SL;;;;;;;;;;
88;20/01/2026;13:02;20/01/2026;14:39;1h 37m;SWING;75;ATOMUSDT;LONG;;;-0,9466;SL;;;;;;;;;;
91;20/01/2026;11:47;20/01/2026;15:53;4h 6m;SWING;90;OPUSDT;LONG;;;-0,9857;SL;;;;;;;;;;
92;20/01/2026;12:48;20/01/2026;16:12;3h 24m;SWING;80;DOTUSDT;LONG;;;-0,9447;SL;;;;;;;;;;
140;22/01/2026;00:30;22/01/2026;10:06;9h 36m;SWING;80;OPUSDT;SHORT;;;-0,9858;SL;;;;;;;;;;
52;18/01/2026;18:20;18/01/2026;19:17;0h 57m;DEGEN ;90;EGLDUSDT;SHORT;;;0,6867;TPDe;Dépassement de durée limite;;;;;;;;;
143;;;;;0h 0m;;;;;;;;;;;;;;;;;;
144;;;;;0h 0m;;;;;;;;;;;;;;;;;;
145;;;;;0h 0m;;;;;;;;;;;;;;;;;;
146;;;;;0h 0m;;;;;;;;;;;;;;;;;;
147;;;;;0h 0m;;;;;;;;;;;;;;;;;;
148;;;;;0h 0m;;;;;;;;;;;;;;;;;;
149;;;;;0h 0m;;;;;;;;;;;;;;;;;;
150;;;;;0h 0m;;;;;;;;;;;;;;;;;;
151;;;;;0h 0m;;;;;;;;;;;;;;;;;;
152;;;;;0h 0m;;;;;;;;;;;;;;;;;;
153;;;;;0h 0m;;;;;;;;;;;;;;;;;;
154;;;;;0h 0m;;;;;;;;;;;;;;;;;;
155;;;;;0h 0m;;;;;;;;;;;;;;;;;;
156;;;;;0h 0m;;;;;;;;;;;;;;;;;;
157;;;;;0h 0m;;;;;;;;;;;;;;;;;;
158;;;;;0h 0m;;;;;;;;;;;;;;;;;;
159;;;;;0h 0m;;;;;;;;;;;;;;;;;;
160;;;;;0h 0m;;;;;;;;;;;;;;;;;;
161;;;;;0h 0m;;;;;;;;;;;;;;;;;;
162;;;;;0h 0m;;;;;;;;;;;;;;;;;;
163;;;;;0h 0m;;;;;;;;;;;;;;;;;;
164;;;;;0h 0m;;;;;;;;;;;;;;;;;;
165;;;;;0h 0m;;;;;;;;;;;;;;;;;;
166;;;;;0h 0m;;;;;;;;;;;;;;;;;;
167;;;;;0h 0m;;;;;;;;;;;;;;;;;;
168;;;;;0h 0m;;;;;;;;;;;;;;;;;;
169;;;;;0h 0m;;;;;;;;;;;;;;;;;;
170;;;;;0h 0m;;;;;;;;;;;;;;;;;;
171;;;;;0h 0m;;;;;;;;;;;;;;;;;;
172;;;;;0h 0m;;;;;;;;;;;;;;;;;;
173;;;;;0h 0m;;;;;;;;;;;;;;;;;;
174;;;;;0h 0m;;;;;;;;;;;;;;;;;;
175;;;;;0h 0m;;;;;;;;;;;;;;;;;;
176;;;;;0h 0m;;;;;;;;;;;;;;;;;;
177;;;;;0h 0m;;;;;;;;;;;;;;;;;;
178;;;;;0h 0m;;;;;;;;;;;;;;;;;;
179;;;;;0h 0m;;;;;;;;;;;;;;;;;;
180;;;;;0h 0m;;;;;;;;;;;;;;;;;;
181;;;;;0h 0m;;;;;;;;;;;;;;;;;;
182;;;;;0h 0m;;;;;;;;;;;;;;;;;;
183;;;;;0h 0m;;;;;;;;;;;;;;;;;;
184;;;;;0h 0m;;;;;;;;;;;;;;;;;;
185;;;;;0h 0m;;;;;;;;;;;;;;;;;;
186;;;;;0h 0m;;;;;;;;;;;;;;;;;;
187;;;;;0h 0m;;;;;;;;;;;;;;;;;;
188;;;;;0h 0m;;;;;;;;;;;;;;;;;;
189;;;;;0h 0m;;;;;;;;;;;;;;;;;;
190;;;;;0h 0m;;;;;;;;;;;;;;;;;;
191;;;;;0h 0m;;;;;;;;;;;;;;;;;;
192;;;;;0h 0m;;;;;;;;;;;;;;;;;;
193;;;;;0h 0m;;;;;;;;;;;;;;;;;;
194;;;;;0h 0m;;;;;;;;;;;;;;;;;;
195;;;;;0h 0m;;;;;;;;;;;;;;;;;;
196;;;;;0h 0m;;;;;;;;;;;;;;;;;;
197;;;;;0h 0m;;;;;;;;;;;;;;;;;;
198;;;;;0h 0m;;;;;;;;;;;;;;;;;;
199;;;;;0h 0m;;;;;;;;;;;;;;;;;;
200;;;;;0h 0m;;;;;;;;;;;;;;;;;;
201;;;;;0h 0m;;;;;;;;;;;;;;;;;;
202;;;;;0h 0m;;;;;;;;;;;;;;;;;;
203;;;;;0h 0m;;;;;;;;;;;;;;;;;;
204;;;;;0h 0m;;;;;;;;;;;;;;;;;;
205;;;;;0h 0m;;;;;;;;;;;;;;;;;;
206;;;;;0h 0m;;;;;;;;;;;;;;;;;;
207;;;;;0h 0m;;;;;;;;;;;;;;;;;;
208;;;;;0h 0m;;;;;;;;;;;;;;;;;;
209;;;;;0h 0m;;;;;;;;;;;;;;;;;;
210;;;;;0h 0m;;;;;;;;;;;;;;;;;;
